_id,datetime,temperature_2m,precipitation,wind_speed_10m,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,hour,day_of_week,is_weekend,wind_kmh,high_pm2_5,high_pm10
6a323cf58e81093ba140d818,2026-06-17 00:00:00,18.6,0.0,3.6,6.2,4.0,106.0,4.7,38.0,0.1,0,Wednesday,False,12.96,False,False
6a323cf58e81093ba140d819,2026-06-17 01:00:00,18.5,0.0,3.0,6.2,4.1,106.0,5.0,38.0,0.2,1,Wednesday,False,10.8,False,False
6a323cf58e81093ba140d81a,2026-06-17 02:00:00,18.2,0.0,3.8,6.3,4.3,107.0,5.4,37.0,0.2,2,Wednesday,False,13.68,False,False
6a323cf58e81093ba140d81b,2026-06-17 03:00:00,17.8,0.0,5.6,6.8,4.7,108.0,6.1,34.0,0.2,3,Wednesday,False,20.16,False,False
6a323cf58e81093ba140d81c,2026-06-17 04:00:00,17.4,0.0,5.9,7.7,5.3,110.0,7.7,29.0,0.2,4,Wednesday,False,21.240000000000002,False,False
6a323cf58e81093ba140d81d,2026-06-17 05:00:00,17.2,0.0,5.1,8.8,5.8,112.0,9.8,22.0,0.3,5,Wednesday,False,18.36,False,False
6a323cf58e81093ba140d81e,2026-06-17 06:00:00,18.2,0.0,3.6,9.4,6.4,133.0,10.8,26.0,0.4,6,Wednesday,False,12.96,False,False
6a323cf58e81093ba140d81f,2026-06-17 07:00:00,20.0,0.0,4.0,8.8,6.2,132.0,8.8,36.0,0.5,7,Wednesday,False,14.4,False,False
6a323cf58e81093ba140d820,2026-06-17 08:00:00,22.2,0.0,3.2,9.1,5.4,128.0,9.2,46.0,0.5,8,Wednesday,False,11.520000000000001,False,False
6a323cf58e81093ba140d821,2026-06-17 09:00:00,24.2,0.0,6.0,7.1,4.8,124.0,5.7,56.0,0.4,9,Wednesday,False,21.6,False,False
6a323cf58e81093ba140d822,2026-06-17 10:00:00,25.7,0.0,9.7,6.2,4.2,121.0,3.3,65.0,0.4,10,Wednesday,False,34.92,False,False
6a323cf58e81093ba140d823,2026-06-17 11:00:00,26.8,0.0,12.3,5.8,3.9,116.0,2.0,74.0,0.3,11,Wednesday,False,44.28,False,False
6a323cf58e81093ba140d824,2026-06-17 12:00:00,27.7,0.0,11.7,5.4,3.3,112.0,1.5,73.0,0.2,12,Wednesday,False,42.12,False,False
6a323cf58e81093ba140d825,2026-06-17 13:00:00,28.8,0.0,12.5,5.0,3.2,109.0,1.5,71.0,0.2,13,Wednesday,False,45.0,False,False
6a323cf58e81093ba140d826,2026-06-17 14:00:00,29.4,0.0,12.0,4.8,2.8,109.0,1.4,72.0,0.1,14,Wednesday,False,43.2,False,False
6a323cf58e81093ba140d827,2026-06-17 15:00:00,29.7,0.0,11.7,4.7,2.9,108.0,1.5,73.0,0.1,15,Wednesday,False,42.12,False,False
6a323cf58e81093ba140d828,2026-06-17 16:00:00,29.6,0.0,11.5,4.6,3.2,108.0,1.8,74.0,0.2,16,Wednesday,False,41.4,False,False
6a323cf58e81093ba140d829,2026-06-17 17:00:00,29.2,0.0,10.7,5.2,3.4,108.0,2.5,75.0,0.2,17,Wednesday,False,38.519999999999996,False,False
6a323cf58e81093ba140d82a,2026-06-17 18:00:00,28.6,0.0,9.2,5.6,3.6,109.0,3.1,73.0,0.2,18,Wednesday,False,33.12,False,False
6a323cf58e81093ba140d82b,2026-06-17 19:00:00,27.8,0.0,7.6,5.8,4.2,111.0,4.1,68.0,0.2,19,Wednesday,False,27.36,False,False
6a323cf58e81093ba140d82c,2026-06-17 20:00:00,22.7,0.0,14.0,6.2,4.4,112.0,4.0,59.0,0.2,20,Wednesday,False,50.4,False,False
